ID,Date,SCORE,ForwardHead,LeftArmFallForward,RightArmFallForward,LeftShoulderElevation,RightShoulderElevation,ExcessiveForwardLean,LeftAsymmetricalWeightShift,RightAsymmetricalWeightShift,LeftKneeMovesInward,RightKneeMovesInward,LeftKneeMovesOutward,RightKneeMovesOutward,LeftHeelRises,RightHeelRises
07a834a4-b0bc-4461-b9c0-aa198899d4e3.Kinect,7/19/2018,0.467951931982453,1.49,1.28,1.05,0.14,0,0,1.17,0,0,0,0,0.01,0,0
1df49938-334f-4a07-9e05-bad89681d598.Kinect,8/24/2018,0.465156754667935,0,1.4,0.71,0,0,0,0,0,0,0,0,1.5,0.1,0.23
0ef2aa3e-bbae-464c-9c27-f6bc4bf8e8a6.Kinect,7/23/2018,0.678751636049391,0.64,1.35,1.42,0.48,1.05,0,0,0.04,0,0,0,0,0,0
124bc20b-72bf-4965-b3d6-980bf46372df.Kinect,9/11/2018,0.73198947544225,0.02,0.15,0,1.27,1.1,0.04,0,0,0,0.56,0,0,0,0
5a475c53-0700-4380-a519-57db2c4cf6d1.Kinect,6/19/2018,0.860685907441074,0,0.34,0.34,0,0,0,0,0,0,0.18,0.52,0,0,0
9519e0dc-5dcf-4382-b384-90aa699e83cf.Kinect,8/23/2018,0.840439866200343,0,1.18,1.14,0,0.13,0,0,0,0,0.14,0.04,0,0,0
4fb1ee1f-a5ff-4714-aac3-5ceab8a1abc5.Kinect,8/24/2018,0.0548284687717653,0,0.3,0,0.07,0.14,0,0,0,0,0,1.32,1.5,1.5,1.39
99f1e376-8dc4-4f03-bb2c-7682bd027c17.Kinect,5/31/2018,0.866254891549102,0,0.26,1,0.33,0.16,0,0,0,0,0,0,0,0,0
8d492405-55ae-41f1-b51a-a14d08181f98.Kinect,10/31/2018,0.45186910717713,0,1.08,0.12,0,0.41,0,0,0,0,0,0.02,1.5,0,0.24
4ee22256-b38b-42ea-ad57-6bc0c97ddab9.Kinect,10/24/2018,0.525304560664131,0.13,1.5,1.5,0,0,0,0,0,0,0.93,1.5,0,0.02,0
ed55ff88-7558-416f-bbf4-c677b7bd3260.Kinect,6/27/2018,0.8236678803382,0,1.2,1.26,0.49,0.29,0,0,0,0,0,0,0,0,0
265f48bb-39e0-4360-9573-c438e686a6c8.Kinect,9/26/2018,0.847669762997298,0,1.37,1.37,0,0.04,0,0.04,0,0,0,0,0,0,0
275a9852-8c01-47a1-9f0b-8c07e2c1f315.Kinect,5/10/2018,0.428641322182823,1.47,0.7,1.11,0.01,0.12,1.14,0.35,0,0,0,0,0,0,0
b00213f9-4afb-4548-af06-1452c72e4052.Kinect,8/17/2018,0.407197108990292,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
54efb210-ecda-4463-9961-9cec5079643c.Kinect,8/14/2018,0.258931973711506,0.12,1.18,0.44,0,0.15,0,0,0,0.17,0,0,1.5,0.73,0.73
f1b2b5c9-290a-4613-a244-44640ed9704d.Kinect,8/22/2018,0.758322653470484,0,1.18,0.55,0,1.09,0,0,0.06,0,0,0,0,0,0
401f0078-d9f3-426b-8b29-7da162b47217.Kinect,10/3/2018,0.940051697972929,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0
7748fb36-3477-40c7-bea4-3d0077010824.Kinect,9/26/2018,0.731342390048443,0,1.44,1.45,0,0.26,0,0,0,0,0,0.48,0,0,0
7f4fb98f-0fff-4c9e-a334-183778f706b4.Kinect,8/17/2018,0.407197108990292,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
00316bfb-ed43-489f-a55b-11c7f01c852d.Kinect,5/9/2018,0.848327109761258,0,0.89,0.57,0,0.18,0,0,0,0,0,0,0,0,0.1
88ddd7fe-e26b-4dd3-96cc-8f1cc13a8a67.Kinect,8/24/2018,0.0864259536781156,0,1.2,0.2,0,0.18,0,0,0,0,0,0,1.5,1.11,1.18
31794397-5f7d-42a6-82a8-caaea2ffea2f.Kinect,10/31/2018,0.407123958077868,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
58073027-16d1-4b76-acce-3e664e0acf45.Kinect,7/30/2018,0.709782252895865,1.07,1.46,1.43,0,0.21,0,0,0,0,0,0,0.06,0,0
d87f517c-0d66-41d5-a8f5-99c5948d4a6a.Kinect,10/24/2018,0.0687030310692623,1.5,1.42,1.43,0,0,1.5,1.27,0,0,0.41,0,0,0,0
677e79ab-32ea-4eed-92bf-c81f64de7681.Kinect,6/11/2018,0.615989596268031,0,1.08,0.76,0,0.44,0.01,1.09,0,0.04,0,0,0,0,0
d7196534-f01d-4eae-8deb-b173ecb18528.Kinect,8/11/2018,0.815821422771482,0,0.26,0.28,1.2,1.32,0,0.1,0,0,0,0,0.01,0,0
ad01ecd9-959b-44b1-89a4-e1a8542af70f.Kinect,7/10/2018,0.525447464538383,1.5,1.2,1.18,0.77,0.82,0,0.3,0.6,0,0,0,0,0,0
a3f1585f-f89a-4a64-aba9-1507ace544b3.Kinect,8/13/2018,0.388765779287969,0,0.99,0.42,0.34,1.5,0.49,1.31,0,0,0,0,0,0,0
c0438d8d-6669-4e55-9579-eb45dbfb5e47.Kinect,6/1/2018,0.422100209314882,0.04,0,0,1.2,0.09,0.1,1.13,0,1.02,0.06,0,0,0,0
1d6a69ae-797f-48ed-a331-6528f571c595.Kinect,6/19/2018,0.685124537620551,0,1.23,1.1,0.02,0,0,0,0,0.05,0.94,0,0,0,0
01e9ae95-b749-4081-a366-971f4d62649f.Kinect,7/12/2018,0.676982388132393,1.41,1.5,1.5,0.16,0.3,0,0,0,0,0,0,0,0,0
e374c636-9cd1-41bf-a1c1-4678b2dfa26f.Kinect,8/13/2018,0.475379166689926,0.02,0.68,1.07,0,0.66,0.47,1.24,0,0,0.02,0,0,0,0
1bca720f-520c-4518-919d-3a1a9e410990.Kinect,7/20/2018,0.810306911931881,0.12,1.43,1.5,0.09,0,0,0,0,0,0.09,0,0,0,0
147db2e3-78ab-4f91-9f68-554b1bc27000.Kinect,5/10/2018,0.811192662915718,0,0,0.02,0.18,1.24,0,0.3,0,0,0,0,0,0,0
14bd7ade-65fb-4b7e-aabe-76d74e3311ac.Kinect,9/4/2018,0.694807501448289,0.58,1.47,1.5,0,0.2,0,0,0,0,0.38,0.02,0,0,0
7149a4db-9b03-4834-862b-51ea11e89e3e.Kinect,10/3/2018,0.89724937995546,0,0,0,0,0.8,0,0,0,0.01,0.11,0,0,0,0
a2ee92c0-befd-44f5-a523-295435ef8262.Kinect,9/26/2018,0.689728865887419,0.3,1.26,1.5,0,0.95,0.15,0,0,0,0.01,0,0,0,0
53ef7e0b-d741-4556-9237-83ad75e4d1b1.Kinect,6/8/2018,0.646323154417592,0,0.45,0.56,0.19,0.52,0,0.93,0,0,0.29,0,0,0,0
42721f96-db97-47c2-b186-121a7172fcb1.Kinect,5/21/2018,0.528871226028314,0,1.49,1.37,0,0.09,0,0.25,0,0,1.3,0,0,0,0
79337de6-b918-45dc-a05a-28c594122d19.Kinect,8/11/2018,0.70341712151505,0,0.94,1.29,0.22,0.17,0,0,0.13,0,0,0,0.59,0,0
72da3638-5713-490e-bae8-df9a3ed36050.Kinect,8/20/2018,0.407375909708466,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
4bac99bf-30e8-48fd-ae27-f22a269246f7.Kinect,9/6/2018,0.418472230123248,0,1.08,0.13,0,0.43,0,0,0,0,0,0.02,1.5,0.01,0.32
a34f1699-cc2b-416f-88da-7d9b0686f293.Kinect,6/1/2018,0.859043915449691,0,0.37,0.07,0.23,1.01,0,0,0,0,0.01,0,0,0,0
2e8ea1de-4eca-4f54-95e0-9366bbb4666c.Kinect,7/27/2018,0.40297613974146,0.04,0.15,0,0.32,1.13,0,1.25,0,0,0,1.05,0,0,0
85b5a615-2a3d-4846-a2f5-d574940a83b4.Kinect,8/27/2018,0.632437059378844,0.13,1.21,1.45,1.05,0.1,0.34,0,0,0,0.17,0.17,0,0,0
52db0d60-af6b-4489-b755-3cec9b908ee8.Kinect,9/7/2018,0.893837101472971,0.11,0.05,0.15,0,0.04,0.15,0.21,0,0,0,0,0,0,0
d2f2fb23-7cab-4804-93ee-e155e417e930.Kinect,8/23/2018,0.798394445105834,0.01,1.46,1.49,0,0,0.21,0,0,0,0,0.02,0,0,0
03c04b01-b868-4877-9f89-c4bc2fcc7514.Kinect,7/20/2018,0.865018692960727,0,1.21,1.27,0.06,0,0,0,0,0,0,0,0,0,0
3afe9add-e8bf-4610-9cb7-c3a2bea5fcd6.Kinect,8/25/2018,0.407026275438887,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
d30bbbb1-fafa-484d-96ef-767160b36fd9.Kinect,8/29/2018,0.489887248984862,1.43,1.38,1.44,0,0,0,0,1.1,0,0,0,0,0,0
118689c6-c5e4-435c-ba55-8b61f10b88c2.Kinect,10/24/2018,0.21403554879222,0,1.4,1.48,0,0,0,0,0,0,0.2,1.17,0,1,0.01
b4cdc047-e32d-4143-a2a7-ea3b9b3c8edf.Kinect,8/29/2018,0.607952642996094,0,0.34,0.15,0.01,0.41,0,1.3,0,0,0,0.27,0,0,0
0650d96d-eef3-48bf-93b9-a3325f4147bc.Kinect,8/15/2018,0.412105802625887,0,1.08,0.14,0,0.42,0,0,0,0,0,0.01,1.5,0.01,0.34
e5430c3e-d4c6-4697-9bab-28e85a73e31d.Kinect,10/19/2018,0.561867881294335,0,1.44,1.5,0.07,0,0,0,0,0,0.11,1.37,0,0.01,0
dfbeb890-22a8-457f-9b99-fa9f936f328b.Kinect,9/11/2018,0.676092633051018,0,0.29,0.4,1.43,1.42,0.24,0.2,0,0.16,0.25,0,0,0,0
d36b24f5-066d-4125-878c-3d7b75706b4c.Kinect,7/11/2018,0.887163490213502,0,1.09,1.03,0,0,0,0,0,0,0,0.01,0,0,0
257c9ac4-a00e-4df6-9493-ec0c14e7adcb.Kinect,10/26/2018,0.601444349210744,0.08,0.62,1.13,0.01,0.36,0.62,0.03,0,0,0.53,0.27,0,0,0
7b31d736-2442-49ab-8180-71879a76a472.Kinect,9/11/2018,0.70313331182443,0,0,0.26,0.06,0.24,1.18,0,0,0.02,0,0,0.04,0,0
64c0aff6-c84d-46b2-89f0-3d1eae4e6975.Kinect,8/23/2018,0.778447840156161,0,0.18,1.16,0,0,0.42,0,0,0,0.1,0,0,0,0
7e432c4f-fa6b-42bf-9aeb-294938eaf924.Kinect,9/11/2018,0.372623088358239,0,0.52,0.32,0.3,1.5,1,0.91,1.03,0,0.08,0,0,0,0
7f574a51-4bdb-4221-b465-235c38eca3df.Kinect,10/3/2018,0.955185227841167,0,0,0,0.06,0.43,0,0,0,0,0,0,0,0,0
787b1bd3-3423-4702-a01c-129865bf55ca.Kinect,8/27/2018,0.759578523302075,0.13,1.5,1.5,0,0,0,0.15,0,0,0.22,0,0,0,0
3038cffe-dd73-459b-aba9-e1eb7bbe9846.Kinect,8/29/2018,0.829803592291437,0,1.27,1.42,0,0,0.02,0.08,0,0,0.02,0,0,0,0
81f3e9a4-5551-4cd2-9c91-bbc61e2d0e50.Kinect,10/4/2018,0.448770007273293,0,1.2,1.09,1.16,1.13,0,0,0,0,0,0,0.26,0.65,0.35
ca841b26-25c3-4943-bf8c-e3e5cdd5776f.Kinect,7/17/2018,0.769331379904373,1.04,0.39,1.11,0.06,0.1,0,0,0,0,0,0,0,0,0
0b900e64-7946-44f7-ae08-1017b63cc319.Kinect,8/25/2018,0.407355462999642,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
2dd4d2f5-592f-4239-88ea-ae7daf29d263.Kinect,8/29/2018,0.642676912611164,0.57,1.36,1.34,0.93,1.13,0,0,0.21,0,0.03,0,0,0,0
767e39ac-7a00-49df-8864-efbc7376f5c5.Kinect,8/27/2018,0.644279363570622,0,1.5,1.5,0,0.13,0.17,0.06,0,0,0.72,0,0,0,0
8d2cf6a8-88a9-4872-9ddf-2268cd338a50.Kinect,9/11/2018,0.477600618446129,1.2,0.4,0.01,0.31,1.03,1.29,0,0,0,0,0,0,0,0
2febe734-a38d-456a-a052-89c25ca6a856.Kinect,7/31/2018,0.531861569246113,0,0.69,0,0.61,1.07,1.08,0,0.19,0,0.17,0,0,0,0
c8ef9d62-de0d-4d3a-9697-1001dbdf7144.Kinect,10/3/2018,0.976031797152921,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0
c724032b-b225-4663-92f2-f73ea173cd97.Kinect,10/24/2018,0.489094223256054,0.04,1.49,1.5,0.02,0,0,0,0,0,0.24,1.43,0,0.16,0
9ea97707-a4d5-42df-8d0c-2da037cf4e0a.Kinect,9/26/2018,0.55558211384307,0,1.16,1.11,1.13,1.44,0,0,0,0,0.91,0,0,0,0
4a44e61d-f81d-442f-88b5-2b4649042657.Kinect,7/16/2018,0.76853168006761,0.92,1.21,1.22,0.14,0,0,0,0,0,0,0,0,0,0
48a03737-b5b4-4a8b-8ed7-d54bbf5e45b7.Kinect,6/19/2018,0.348586252274432,0,0.27,1.25,0.83,1.28,0,1.5,0,0,0.48,0,0,0,0
f11ecedf-ba55-41c9-ba39-cd48e5d07438.Kinect,6/19/2018,0.292206472405161,0,1.1,1.11,0.07,0.14,0.35,1.5,0,0,1.05,0,0,0,0
0a30f46a-7a24-44eb-950c-dfe646f0b11a.Kinect,6/11/2018,0.01,0,1.36,1.5,0,1.37,0,0.66,0,0,0,0.01,1.5,0.27,0.69
8a97c5bc-d6d5-4ef6-98e4-a205220b5662.Kinect,8/25/2018,0.0733507893548417,0,1.01,0.01,0.02,0,0,0,0,0,0,1.35,1.5,0.18,1.3
3c800486-5316-4f8d-9eaa-a42b68872d26.Kinect,6/20/2018,0.01,1.15,0.96,1.09,1.32,1.27,1.31,1.26,0,0,1.39,0.01,0,0,0
62995db0-5dcc-403e-b697-934ada5d4b3a.Kinect,7/11/2018,0.0711813864007144,1.4,1.5,1.44,1.37,1.5,0.59,0,1.5,0,0.17,0,0,0,0.08
cba9710a-88e1-4384-bcba-880f7b98075f.Kinect,8/15/2018,0.407197108990292,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
6ea6bff2-87f6-459e-bdd3-91a7df6852c2.Kinect,7/31/2018,0.480894549990132,0.23,1.5,1.25,1.36,0.51,0,1,0,0,0,0.04,0,0,0
7ab8a01b-2353-4fc2-b081-2a3761194e58.Kinect,8/27/2018,0.788742888113399,0.07,1.5,1.5,0,0.03,0,0,0,0,0.23,0,0,0,0
2bc552cc-e8cb-4aae-8e4f-91b1ef796711.Kinect,7/16/2018,0.767256020140647,1,1.18,1.14,0.12,0.02,0,0,0,0,0,0,0,0,0
ec8043fd-c625-4289-8bcc-5a49e3e6a7f8.Kinect,9/10/2018,0.464115639974906,1.03,1.24,1.34,0,0,1.37,0,0,0,0.11,0,0,0,0
df700690-fa03-4f04-958e-06d8d947d160.Kinect,6/8/2018,0.581660851433715,0,0.6,0.53,0.05,0.54,0,0.04,0,0,0,0.05,0.15,0.45,0.65
af12d78f-94b8-45ec-b908-2d5d8f775b97.Kinect,9/11/2018,0.660588584522554,0,1.5,1.5,0,0,0,0,0,0,0.94,0,0,0,0
71931603-e0e9-4977-b5e5-63b12a9db985.Kinect,6/27/2018,0.459923426481945,0.61,1.32,1.24,1.42,1.5,0.62,0,0.19,0.14,0.15,0,0,0,0
0324d129-9ee9-428b-9cd4-accce624d84b.Kinect,10/16/2018,0.923583232597979,0,0.31,0.59,0.16,0.11,0,0,0,0,0,0,0,0,0
83770547-0543-4cb6-a81e-b553c42fe363.Kinect,10/19/2018,0.740950787596779,0,1.35,1.48,0,0,0,0,0,0,0,0.33,0,0.1,0
c72eaa26-824b-4ea9-9e9c-015788df6603.Kinect,10/26/2018,0.824357124612462,0.12,1.48,1.5,0,0,0,0,0,0,0.06,0,0,0,0
a478f74a-6ffa-43c7-a950-cb690cbac9f5.Kinect,6/19/2018,0.750484871247396,0,1.39,1.43,0,0,0,0,0,0,0.52,0,0,0,0
9c21d620-cddb-4146-8e14-256b39f06316.Kinect,7/18/2018,0.752006016826902,0.24,1.14,0.37,1.07,0.98,0,0,0,0,0,0,0,0,0
b73014cf-baa4-4cfa-948c-299ab000bcca.Kinect,8/23/2018,0.401906110671491,0.19,1.5,1.5,0.7,0.6,0,0,0,0,0,1.17,0,0,0.3
a9ad768b-b7d6-41e2-91de-a03a4f742bc6.Kinect,5/9/2018,0.839387300051836,0,1.43,1.5,0.1,0,0,0,0,0,0,0,0,0,0
53c6255b-3d83-4889-ae8c-42cbb5d3fccb.Kinect,5/10/2018,0.694734234515545,0,0.15,0.29,0.01,0.3,0,0.14,0,0,1.08,0,0,0,0
32e908fe-3ac1-4ad1-8047-a44f21c00a2c.Kinect,7/17/2018,0.0785423436486876,0,0.05,0.34,1.11,1.49,1.5,1.5,0,0,0,0.69,0,0,0
35adca15-dfca-4efb-881c-bd1a073b6466.Kinect,5/10/2018,0.797597258227926,0,1.3,1.28,0,0.33,0,0.04,0,0,0.14,0,0,0,0
118dcd78-eb98-4513-83f0-5dd22947ecd5.Kinect,6/20/2018,0.466961126708735,0,1.35,1.38,0,0.25,0.38,0.13,0,0,0.26,1.32,0,0,0
245164f5-cb7b-482b-b0e4-dbc9e64484f7.Kinect,7/18/2018,0.640638459750482,0,0,0,1.18,1.15,0,0,0,0,0,0.65,1.2,0,0
61cc287d-9b82-42a2-bf87-5ebd7c1dc8d5.Kinect,9/11/2018,0.400383729635056,0.56,1.49,1.44,0,0.43,1.23,0.51,0,0,0,0,0,0,0
d78d2f46-b02f-4d09-ad79-e4aa198e32d3.Kinect,6/5/2018,0.742049786124528,0,1.21,1,0.02,1.16,0,0,0,0,0,0.09,0,0,0
8b8c6e59-313b-4cc3-98ba-ce1bfbd7f527.Kinect,9/6/2018,0.406954194395742,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
154e4e27-7ea2-47fd-8797-4a9640d5125c.Kinect,9/27/2018,0.500095286654146,0.85,1.13,1.13,0,0.44,1.15,0,0,0,0.12,0,0,0,0
21c3ebbd-2bd6-4234-836d-cf0a5b450bce.Kinect,6/27/2018,0.0787640725541323,0.73,1.49,1.31,1.5,1.32,1.34,0.29,0,0,1.1,0.16,0,0,0
09848cbe-31c2-4cdd-a1a7-8686f4fac756.Kinect,7/10/2018,0.766702706311551,0.49,1.14,1.16,0.26,0.62,0,0,0.02,0,0,0,0,0,0
3a165631-6c2f-43f8-adc4-a35c3ddb46e0.Kinect,9/7/2018,0.825992842628214,0,0.71,0.7,0.03,1.01,0,0,0,0,0,0,0,0,0
c6e70bab-7317-4207-8e3b-b59c7b560ff3.Kinect,10/16/2018,0.872748104771819,0,0.28,1,0,0.26,0,0,0,0,0,0,0,0,0
9835f74b-a867-4421-8c3b-35f8b36ea90a.Kinect,10/26/2018,0.839294723475722,0,1.35,1.45,0.15,0,0,0,0,0,0,0,0,0,0
458afa53-172c-44e7-b40c-79fe5ecdf7fd.Kinect,9/11/2018,0.893527263541195,0,1.06,0.57,0,0,0,0,0,0,0,0,0,0,0
64030701-2db7-4ce5-8a41-0c56fc5fbff2.Kinect,10/3/2018,0.965602394292361,0,0.03,0.06,0,0.19,0,0,0,0,0.04,0,0,0,0
b542affd-ee81-4908-b34a-39113a63417e.Kinect,9/26/2018,0.789505703985007,0.2,1.19,1.19,0.12,0.68,0,0,0,0,0,0.01,0,0,0
47eed08f-b19a-4a4a-9904-eb8aadf3a560.Kinect,9/26/2018,0.883557178215152,0,0.16,0.32,0,0.03,0,0,0,0,0.32,0,0,0.04,0
8f0b067e-cc1e-4f73-8b65-3b5b0797a8ea.Kinect,9/7/2018,0.913551858799885,0,0.56,0.54,0,0.15,0,0.07,0,0,0,0,0,0,0
826e9f37-e8b8-4ebe-ad9b-c2da7a692249.Kinect,8/17/2018,0.407468979667704,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
41f874f9-dc86-4069-9a1a-fc5b35624da9.Kinect,10/19/2018,0.634274898113854,0,1.23,1.41,0.04,0.01,0,0,0,0,0,0.75,0,0.17,0
379a7acc-3872-4d0e-a3c7-85bdef4713dd.Kinect,9/11/2018,0.01,1.45,1.21,1.25,0.06,0.04,1.47,1.37,0,0.7,1.23,0,0,0,0
0adae804-605f-492c-be86-f1cc405041b7.Kinect,7/20/2018,0.887097944552278,0,0.76,0.78,0.33,0.04,0,0,0,0,0,0,0,0,0
baeed010-88c5-4d32-9f8b-494263829f8f.Kinect,8/23/2018,0.64464879466932,0,1.46,1.46,0.02,0.06,0,0,0,0,1.01,0,0,0,0
8ffd1320-db71-4cb3-b4be-61a0b3b11e35.Kinect,5/9/2018,0.318026811770759,1.41,0.31,1.24,0.04,0.09,0.07,1.47,0,0.47,0.08,0,0,0,0
b82bfc1a-50a6-4bb1-a22f-b677cdb98d66.Kinect,6/27/2018,0.666270720644703,0.43,1.43,1.48,1.41,0.62,0,0,0,0,0,0,0,0,0
e17ca858-1961-4182-9fb5-2c46d66752ab.Kinect,10/16/2018,0.914324216663838,0,0.25,0,0.01,0.51,0,0,0,0,0,0,0.04,0,0
a77a0af1-7e5c-4df3-86d5-de9fc373ac09.Kinect,7/20/2018,0.620821827995709,1.02,1.17,1.26,1.14,1.37,0,0,0,0,0.06,0,0,0,0
020f9814-9ef5-4a48-a6a6-25de340fc8f5.Kinect,10/16/2018,0.789607684254176,0.62,1.39,1.29,0.02,0.08,0,0,0,0,0,0,0,0,0
0d57a725-f0a7-4266-a1a9-c4094e077aa4.Kinect,6/13/2018,0.535860229407525,0,1.45,1.06,0.1,0.08,0,0,0,0,0,1.5,0.37,0.02,0
c9a1369e-3e3b-40e4-a93b-1a26328b1c5f.Kinect,6/26/2018,0.01,1.18,1.5,1.5,1.07,1.4,0.74,1.26,0,0,1.19,0,0,0,0
595954f2-9a86-4e75-a7bf-553f6724402a.Kinect,8/17/2018,0.407197108990292,0,1.08,0.13,0,0.42,0,0,0,0,0,0.02,1.5,0.01,0.35
8b0673ae-83dc-4124-8b2e-d1fa42d5098c.Kinect,6/19/2018,0.431004856681546,0,1.5,1.5,0,0.04,0,0,0,0,0,1,0.46,0.53,0.31
5e57b822-b2f4-44f9-bc80-08831a94a3d1.Kinect,7/25/2018,0.657329799694567,1.42,1.04,0.38,0.25,0.05,0,0.35,0,0,0,0,0,0,0
0cd1bdb1-9a03-4483-90d1-9bb5c47dee75.Kinect,10/19/2018,0.0665434614844968,0.03,1.35,1.39,0.01,0,0,0,0,0,0,1.5,0,1.22,0.66
c01e6b9f-89a4-4d58-b37f-49d77e1f7052.Kinect,8/13/2018,0.466520925813435,0.32,0.27,0.03,0,0.45,0,1.28,0,0,0,0.85,0,0,0
beadaf55-5da7-405b-9632-1466bd082f50.Kinect,9/19/2018,0.173679445384154,1.37,1.39,1.19,1.03,1.34,0.73,0,1.25,0.09,0,0,0,0,0
bf4c1ed6-a92a-41c2-833b-db4ad384aa13.Kinect,9/26/2018,0.735003577037623,0,0.65,0.56,1.13,1.26,0,0.35,0,0,0,0,0,0,0
568f8b82-eabf-4ded-a22c-52da07848610.Kinect,7/9/2018,0.609055726720419,0,1.5,1.5,0,0,0.61,0,0.2,0,0,0.39,0.01,0,0
c911b879-5b77-4464-8865-2024058ff7fd.Kinect,7/10/2018,0.679292260408834,1.02,1.11,1.19,0.92,0.35,0,0,0,0,0.02,0,0,0,0
28d57d63-7a66-4d8c-a46d-bb9a0bc2778d.Kinect,7/20/2018,0.90720338140308,0,0.38,0.89,0.02,0,0,0,0,0,0,0,0,0,0
0fe68c3f-6eb3-46cd-a29e-458e93421b8b.Kinect,8/26/2018,0.417891423185418,0,1.08,0.14,0,0.42,0,0,0,0,0,0.01,1.5,0.01,0.32
8af99dbe-010e-4a70-a09a-ab562ff33ee8.Kinect,8/13/2018,0.412123982778882,0,0.13,0.09,0,1.01,1,1.35,0,0,0,0,0,0,0
c464db96-f483-41f3-95ec-29514084d8ca.Kinect,5/10/2018,0.444276545459861,0,0.75,0.41,0.26,1.08,0.13,1.5,0.51,0.06,0.22,0,0,0,0
1f82de65-f2ee-499a-9683-840c00fee644.Kinect,5/10/2018,0.799215942979828,0,0.72,1.18,0,0.04,0.1,0.28,0,0,0,0,0,0,0
575ebd0c-6706-4e6d-be7a-fdaef8552178.Kinect,8/29/2018,0.755653719089833,0,1.5,1.5,0,0.03,0,0,0,0,0.45,0,0,0,0
b7a5d723-2db1-495d-88db-8b99fa360ef0.Kinect,9/4/2018,0.747229081607282,0,1.5,1.5,0,0.06,0,0,0,0,0.48,0,0,0,0
e84f68e2-0b31-4629-a1a2-51328cac6064.Kinect,5/10/2018,0.638522336065666,0,0.39,1.05,0,0.11,0,0.36,0,0,0.28,0.86,0,0,0
4f99adc1-d585-4c14-9f27-77b42d460865.Kinect,8/25/2018,0.0733975506859645,0,1.01,0.01,0.02,0,0,0,0,0,0,1.36,1.5,0.21,1.3
aa15f210-b8e0-4be0-a2c8-7385046d0615.Kinect,9/26/2018,0.348118427469933,0,1.07,1,0,0,0,0,0,0,0,1.06,0,0.82,0.5
56bcd188-7faa-4d87-9150-251472a47095.Kinect,8/23/2018,0.736505678446251,0,1.06,1.04,0,0,0,0.6,0,0,0.15,0.17,0,0,0
c4327efb-d860-4886-a072-058e993541ed.Kinect,9/11/2018,0.596294699322737,0.76,1.5,1.5,0.05,0.51,0.22,0,0,0,0,0,0,0.2,0.02
